"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type"
55672,"ref","journal article","Dating of the Cretaceous Une Formation, Colombia and the relationship with the Albian-Cenomanian African-South American microfloral province",1990,"G. F. W.","Herngreen","H. J.","Duenas","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"66","","345","359","English","10.1016/0034-6667(90)90046-L","auth,class"
38750,"ref","journal article","Phytogeographic implications of fossil endocarps of Menispermaceae from the Paleocene of Colombia",2011,"F.","Herrera","S. R.","Manchester","S. B. Hoot, K. M. Wefferling, M. R. Carvalho, C. Jaramillo","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"98","12","2004","2017","English","doi:10.3732/ajb.1000461","auth"
4023,"ref","serial monograph","Stratigraphy and paleobotany of the Golden Valley Formation (Early Tertiary) of western North Dakota",1977,"L. J.","Hickey","","","","",NA,"The Geological Society of America Memoir",NA,NA,NA,NA,NA,NA,"150","","1","183","","","auth,class"
54448,"ref","journal article","Leaves of Eucryphia (Eucryphiaceae) from tertiary sediments in south-eastern Australia",1991,"R. S.","Hill","","","","",NA,"Australian Systematic Botany",NA,NA,NA,NA,NA,NA,"4","3","481","497","English","10.1071/SB9910481","auth,class"
54558,"ref","journal article","Tertiary gymnosperms from Tasmania: Araucariaceae",1987,"R. S.","Hill","A. J.","Bigwood","","",NA,"Alcheringa",NA,NA,NA,NA,NA,NA,"11","4","325","335","English","10.1080/03115518708619142","auth"
43447,"ref","book/book chapter","New data on Xenotheca devonica Arber and Goode, an enigmatic early seed plant cupule with preovules",1999,"J.","Hilton","D.","Edwards","","M. H. Kurmann and A.R. Hemsley (editors)",NA,"The Evolution of Plant Architecture",NA,NA,NA,NA,NA,NA,"","","75","90","English","","auth,class"
76091,"ref","book","Flore portugaise ou description de toutes les plantes qui croissant naturellement en Portugal",1809,"J. C. v.","Hoffmannsegg","J. H. F.","Link","","",NA,"",NA,NA,NA,NA,NA,NA,"1","","","","French","","auth"
83088,"ref","journal article","Taxonomic names, in Precambrian biota from the Little Dal Group, Mackenzie Mountains, northwestern Canada",1979,"H. J.","Hofmann","","","","",NA,"Canadian Journal of Earth Sciences",NA,NA,NA,NA,NA,NA,"16","","150","166","English","","auth,class"
71578,"ref","journal article","The Middle Triassic flora from Benolong, near Dubbo, central-western New South Wales",1982,"W. B. K.","Holmes","","","","",NA,"Alcheringa",NA,NA,NA,NA,NA,NA,"6","1","1","33","English","10.1080/03115518208565416","auth,class"
71636,"ref","journal article","New corystosperm ovulate fructifications from the Middle Triassic of eastern Australia",1987,"W. B. K.","Holmes","","","","",NA,"Alcheringa",NA,NA,NA,NA,NA,NA,"11","2","165","173","English","10.1080/03115518708618987","class"
