"reference_no","aff_country","samp_country"
73971,"United States",NA
54605,"Australia","Australia"
82743,"China","Myanmar (Burma)"
82743,"South Africa","Myanmar (Burma)"
82743,"United Kingdom","Myanmar (Burma)"
82743,"United States","Myanmar (Burma)"
78383,"China","China"
85042,"United Kingdom",NA
85042,"United States",NA
83415,"Canada","Canada"
55377,"Australia","Australia"
80660,"India","Japan"
60169,"United States",NA
86636,"United States",NA
86636,"Argentina",NA
80369,"China","China"
78535,"China","China"
78535,"India","China"
78535,"United Kingdom","China"
80570,"China","China"
80570,"United States","China"
80785,"China","China"
80786,"China",NA
80786,"United States",NA
85018,"China","China"
85018,"United States","China"
76151,"United Kingdom",NA
76151,"Russian Federation",NA
76151,"Netherlands",NA
76151,"Australia",NA
76151,"United States",NA
76151,"Finland",NA
48171,"Argentina","Argentina"
87794,"Argentina","Argentina"
87801,"Argentina","Argentina"
87814,"Argentina","Argentina"
71587,"Canada","Canada"
82640,"Argentina",NA
85741,"Japan","Argentina"
85741,"Argentina","Argentina"
76898,"China","China"
76898,"Germany","China"
76898,"France","China"
76898,"Lebanon","China"
76898,"Australia","China"
76898,"Poland","China"
76898,"United States","China"
76898,"United Kingdom","China"
76898,"Hong Kong","China"
80789,"China",NA
80789,"Russian Federation",NA
80789,"South Africa",NA
54932,"China","China"
80419,"China",NA
80419,"Switzerland",NA
83597,"United States","United States"
83597,"China","United States"
83597,"Germany","United States"
80422,"China",NA
84191,"China",NA
80364,"United States",NA
80364,"China",NA
80373,"China","China"
80791,"China","China"
54697,"Australia","Australia"
87948,"Argentina","Argentina"
87948,"United States","Argentina"
83414,"United States","Canada"
83414,"Canada","Canada"
87597,"South Korea","Australia"
87603,"South Korea","Australia"
80794,"China","China"
80335,"China",NA
80335,"United States",NA
80367,"China","China"
80367,"United States","China"
80795,"China","China"
80795,"United States","China"
80796,"China","China"
80796,"United States","China"
80797,"China","China"
80797,"United States","China"
80384,"China",NA
80384,"Switzerland",NA
80384,"United States",NA
80798,"China","China"
80798,"Switzerland","China"
80798,"United States","China"
80569,"China","China"
80799,"China",NA
80799,"United States",NA
83961,"China",NA
83961,"United Kingdom",NA
