reference_no,publication_type,reftitle,pubyr,author1last,pubtitle,language,doi,aff1,aff2,aff3,aff4,aff5,aff6,aff7,aff8,aff9
80669,journal article,Oligocene-Miocene foraminifera of the Central Paratethys,1998,Cicha,Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft,English,,,,,,,,,,
45281,journal article,"Hojas de Angiospermas de la Formación Palo Pintado, Mioceno Superior, Salta, Argentina, Parte I: Anacardiaceae, Lauraceae y Moraceae",1998,Anzótegui,Ameghiniana,Spanish,,Argentina,,,,,,,,
48169,journal article,"Estudios palinológicos de la Formación Baqueró (Cretácico), Provincia de Santa Cruz, Argentina. VIII",1998,Archangelsky,Ameghiniana,Spanish,,Argentina,,,,,,,,
46576,journal article,"Edad y paleoambiente de la ""Serie del Yeso"", Valle del Cura, provincia de San Juan: evidencias palinológicas",1998,Barreda,Ameghiniana,Spanish,,Argentina,,,,,,,,
43840,journal article,"Palinología de la Formación Chiquimil (Mioceno superior) en Vallecito, provincia de Catamarca, Argentina. Parte I. Esporas: Especies nuevas",1998,Mautino,Ameghiniana,Spanish,,Argentina,,,,,,,,
24760,journal article,"Coralline Red Algae (Corallinales, Rhodophyta) from the Upper Eocene Calcare di Nago (Lake Garda, Northern Italy)",1998,Bassi,Annali Universitá di Ferrara,English,,Italy,,,,,,,,
13796,journal article,"Radiolarians from the Lower Jurassic of the Busuanga Island, Philippines",1998,Yeh,Bulletin of the National Museum of Natural Science (Taiwan),English,,Taiwan,,,,,,,,
13960,book/book chapter,Calcareous Nannofossil Biostratigraphy,1998,Bown,"Calcareous Nannofossil Biostratigraphy, Kluwer Academic",English,,UK,,,,,,,,
8989,serial monograph,"Biochronology and paleontology of Lower Jurassic (Hettangian and Sinemurian) radiolarians, Queen Charlotte Islands, British Columbia",1998,Carter,Geological Survey of Canada Bulletin,English,,USA,,,,,,,,
64756,journal article,"Age constraint on the obduction of ophiolitic rocks in the Yap Island, Philippine Sea, using nannofossils",1998,Fujioka,Journal of the Geological Society of Japan,English,10.5575/geosoc.104.415,Japan,,,,,,,,
7778,journal article,"In Search of the First Flower: A Jurassic Angiosperm, Archaefructus, from Northeast China",1998,Sun,Science,English,,China,USA,,,,,,,
18999,journal article,"Lower Cretaceous dasyclad algae from the Padurea Crailului Massif (northern Apuseni Mountains, Romania)",1999,Bucur,Acta Palaeontologica Romaniae,English,,Romania,,,,,,,,
24764,journal article,Early Norian Radiolaria from Cyprus,1999,Bragin,Geodiversitas,English,,Russia,,,,,,,,
42261,serial monograph,"Biostratigraphy and Systematics of late Middle to Late Triassic Radiolarians from the Taurus Mountains and Ankara Region, Turkey",1999,Tekin,Geologisch-Paläontologische Mitteilungen Innsbruck,English,,Turkey,,,,,,,,
800,,Late Jurassic radiolarians from the Antarctic Peninsula,1999,Kiessling,Micropaleontology,,,Germany,,,,,,,,
57681,journal article,Upper Cretaceous pollen grains from Egypt III,1999,Kedves,Plant cell biology and development,English,,Hungary,,,,,,,,
33301,journal article,"Organic-walled microfossils from Chert-phosphorite Member, Tal Formation, Precambrian-Cambrian Boundary, India",1999,Tiwari,Precambrian Research,English,,India,,,,,,,,
13571,journal article,"The Prati di Stuores/Stuores Wiesen Section (Dolomites, Italy): a candidate Global Stratotype Section and Point for the base of the Carnian stage.",1999,Broglio Loriga,Rivista Italiana di Paleontologia e Stratigrafia,English,,Italy,Switzerland,,,,,,,
43447,book/book chapter,"New data on Xenotheca devonica Arber and Goode, an enigmatic early seed plant cupule with preovules",1999,Hilton,The Evolution of Plant Architecture,English,,UK,,,,,,,,
78497,journal article,"Plant fossils from Arung Khola and Binai Khola Formations of Churia Group (Siwalik), west central Nepal and their palaeoecological and phytogeographical significance",1999,Konomatsu,The Palaeobotanist,English,,India,,,,,,,,
6557,journal article,Fossil fruit and seed flora from the early Eocene Fisher/Sullivan site,1999,Tiffney,Virginia Division of Mineral Resources Publication,English,,USA,,,,,,,,
46161,journal article,"Palinoestratigrafía de depósitos del Oligoceno tardío-Mioceno en el área sur del Golfo San Jorge, provincia de Santa Cruz, Argentina",2000,Barreda,Ameghiniana,Spanish,,Argentina,,,,,,,,
46203,journal article,"Palinomorfos continentales y marinos de la Formación Monte León en su área tipo, provincia de Santa Cruz, Argentina",2000,Barreda,Ameghiniana,Spanish,,Argentina,,,,,,,,
