"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type","aff"
85481,"ref","journal article","A Late Permian flora with Dicroidium from the Dead Sea region, Jordan",2008,"A.","Abu Hamad","H.","Kerp","B. Vörding, K. Bandel","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"149","","85","130","English","10.1016/j.revpalbo.2007.10.006","auth,class","Jordan;Germany"
87164,"ref","journal article","Life through an Ediacaran glaciation: Shale- and diamictite-hosted organic-walled microfossil assemblages from the late Neoproterozoic of the Tanafjorden area, northern Norway",2024,"H.","Agić","S.","Jensen","G. Meinhold, A. E. S. Högström, J. O. R. Ebbestad, M. Høyberget, T. Palacios, W. L. Taylor ","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"635","111956","","","English","10.1016/j.palaeo.2023.111956","auth,class","Sweden;Germany;United Kingdom;Norway;Spain;South Africa"
86804,"ref","journal article","Inventory of Paleozoic radiolarian species (1880-2016)",2017,"J. C.","Aitchison","N.","Suzuki","L. O'Dogherty","",NA,"Geodiversitas",NA,NA,NA,NA,NA,NA,"39","3","533","637","English","10.5252/g2017n3a6","auth,class","Australia;Spain;Japan"
77381,"ref","journal article","Doushantuo-type Microfossils from Latest Ediacaran Phosphorites of Northern Mongolia",2017,"R. P.","Anderson","F. A.","Macdonald","D. S. Jones, S. McMahon, D. E. G. Briggs","",NA,"Geology",NA,NA,NA,NA,NA,NA,"45","12","1079","1082","English","10.1130/G39576.1","auth,class","United States"
86652,"ref","journal article","Araucaria lefipanensis (Araucariaceae), a new species with dimorphic leaves from the Late Cretaceous of Patagonia, Argentina",2018,"A.","Andruchow-Colombo","I. H.","Escapa","N. R. Cuneo, M. A. Gandolfo","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"105","6","1","21","English","10.1002/ajb2.1113","auth","United States;Argentina"
86654,"ref","journal article","New genus of Cupressaceae from the Upper Cretaceous of Patagonia (Argentina) fills a gap in the evolution of the ovuliferous complex in the family",2022,"A.","Andruchow-Colombo","M. A.","Gandolfo","I. H. Escapa, N. R. Cuneo","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"","","1","23","English","10.1111/jse.12842","auth,class","United States;Argentina"
88341,"ref","journal article","Ginkgoites villardeseoanii sp. nov., a ginkgophyte with insect damage from the Upper Cretaceous (Maastrichtian) Lefipán Formation (Chubut, Patagonia, Argentina)",2022,"A.","Andruchow-Colombo","M. A.","Gandolfo","N. R. Cúneo, I. H. Escapa","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"133","105124","1","13","English","10.1016/j.cretres.2021.105124","auth,class","United States;Argentina"
47968,"ref","journal article","Aptian angiosperm pollen from the Ticó Flora Patagonia, Argentina",2013,"S.","Archangelsky","A.","Archangelsky","","",NA,"",NA,NA,NA,NA,NA,NA,"174","3","559","571","English","10.1086/668693","class","Argentina"
69007,"ref","journal article","A new record of late Ediacaran acritarchs from La providencia group (Tandilia System, Argentina) and its biostratigraphical significance",2019,"M. J.","Arrouy","C.","Gaucher","D. G. Poiré, S. Xiao, L. E. Gómez Peral, L. V. Warren, N. Bykova, F. Quaglio","",NA,"Journal of South American Earth Sciences",NA,NA,NA,NA,NA,NA,"","","","","English","10.1016/j.jsames.2019.05.015","auth,class","Russian Federation;Uruguay;United States;Argentina;Brazil"
81768,"ref","journal article","A new approach to the paleoecological relationship between rudists\r\nand benthic foraminifers in Maastrichtian of Tethys basin in the Central\r\nZagros, Iran",2022,"B.","Asgari‑Pirbalouti","M.","Dehghanian","","",NA,"Carbonates and Evaporites",NA,NA,NA,NA,NA,NA,"37","32","","","English","10.1007/s13146-022-00774-5","class","Iran"
67798,"ref","journal article","Microfósiles calcáreos no marinos y semillas de la Formación Piedra Clavada (Albiano) en su área tipo, provincia de Santa Cruz, Argentina",2011,"S.","Ballent","A. P.","Carignano","A. Iglesias, D. G. Poiré","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"48","4","541","555","Spanish","10.5710/AMGH.v48i4(419)","class","Argentina"
55230,"ref","journal article","Lauraceae from rainforest surrounding an early Miocene maar lake, Otago, southern New Zealand",2012,"J. M.","Bannister","J. G.","Conran","D. E. Lee","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"","178","13","34","English","10.1016/j.revpalbo.2012.03.015","auth,class","New Zealand;Australia"
47987,"ref","journal article","Cretaceous/Paleogene Floral Turnover in Patagonia: Drop in Diversity, Low Extinction, and a Classopollis Spike",2012,"V. D.","Barreda","N. R.","Cúneo","P. Wilf, E. D. Currano, R. A. Scasso, H. Brinkhuis","",NA,"PLoS ONE",NA,NA,NA,NA,NA,NA,"7","12","e52455","","English","10.1371/journal.pone.0052455","auth,class","United States;Netherlands;Argentina"
77723,"ref","journal article","A new species of Brachyphyllum from the Crato Formation (Lower Cretaceous), Araripe Basin, Brazil",2020,"M. E. P.","Batista","L.","Kunzmann","A. A. Sá, A. Á. F. Saraiva, M. I. B. Loiola","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"57","6","519","533","English","10.5710/AMGH.23.06.2020.3333","auth,class","Brazil;Germany;Portugal"
80450,"ref","journal article","Systematic descriptions, in First megafossil evidence of Cyatheaceous tree fern from the Indian Cenozoic",2014,"S.","Bera","S.","Gupta","R. Mukhopadhyay","",NA,"Journal of Earth System Science",NA,NA,NA,NA,NA,NA,"123","","1433","1438","English","10.1007/s12040-014-0460-x","auth,class","India"
80803,"ref","journal article","Systematic descriptions, in A new species of Tsuga (Pinaceae) based on lignified wood from the late Miocene of Central Yunnan, China, and its paleoenvironmental implications",2015,"O. V.","Bondarenko","H. B.","Wang","Z. K. Zhou","",NA,"Acta Geologica Sinica",NA,NA,NA,NA,NA,NA,"89","5","1429","1439","English","10.1111/1755-6724.12555","auth,class","China;Russian Federation"
82753,"ref","journal article","Miocene Ethiopian amber: A new source of fossil cryptogams",2022,"V.","Bouju","K.","Feldberg","U. Kaasalainen, A. Schäfer-Verwimp, L. Hedenäs, W. R. Buck, B. Wang, V. Perrichot, A. R. Schmidt","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"60","4","932","954","English","10.1111/jse.12796","auth,class","France;Germany;Sweden;China;United States"
88436,"ref","journal article","First South American Record of Winteroxylon, Eocene of Laguna del Hunco (Chubut, Patagonia, Argentina): New Link to Australasia and Malesia",2021,"M.","Brea","A.","Iglesias","P. Wilf, E. Moya, M. A. Gandolfo","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"182","3","185","197","English","10.1086/712427","auth,class","Argentina;United States"
55172,"ref","journal article","Paleoecology and paleoenvironments of Podocarp trees in the Ameghino Petrified forest (Golfo San Jorge Basin, Patagonia, Argentina): Constraints for Early Paleogene paleoclimate",2011,"M.","Brea","S. D.","Matheos","M. S. Raigemborn, A. Iglesias, A. F. Zucol, M. Prámparo","",NA,"Geologica Acta",NA,NA,NA,NA,NA,NA,"9","1","13","28","English","10.1344/105.000001647","auth","Argentina"
72413,"ref","journal article","Early Cretaceous calcareous algae from central Iran (Taft Formation, south of Aliabad, near Yazd)",2012,"I. I.","Bucur","K.","Rashidi","B. Senowbari-Daryan","",NA,"Facies",NA,NA,NA,NA,NA,NA,"58","","605","636","English","10.1007/s10347-012-0303-7","auth,class","Iran;Romania;Germany"
55631,"ref","journal article","Proteaceae leaf fossils from the Oligo–Miocene of New Zealand: new species and evidence of biome and trait conservatism",2012,"R. J.","Carpenter","J. M.","Bannister","D. E. Lee, G. J. Jordan","",NA,"Australian Systematic Botany",NA,NA,NA,NA,NA,NA,"25","6","375","389","English","10.1071/SB12018","auth,class","New Zealand;Australia"
54762,"ref","journal article","Near-tropical Early Eocene terrestrial temperatures at the Australo-Antarctic margin, western Tasmania",2012,"R. J.","Carpenter","G. J.","Jordan","M. K. Macphail, R. S. Hill","",NA,"Geology",NA,NA,NA,NA,NA,NA,"40","3","267","270","English","10.1130/G32584.1","auth,class","Australia"
63094,"ref","journal article","Solenoporacean red algae from lower Danian (Paleogene) coral reefs of northern Patagonia, La Pampa, Argentina",2016,"M. G.","Carrera","S.","Casadío","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"53","5","623","628","English","10.5710/AMGH.10.02.2016.2956","class","Argentina"
83052,"ref","journal article","A stem group Codium alga from the latest Ediacaran of South China provides taxonomic insight into the early diversification of the plant kingdom",2022,"S.","Chai","C.","Aria","H. Hua","",NA,"BMC Biology",NA,NA,NA,NA,NA,NA,"20","199","","","English","10.1186/s12915-022-01394-0","auth,class","Canada;China"
71639,"ref","journal article","A Dicroidium flora from the Triassic of Allan Hills, South Victoria Land, Transantarctic Mountains, Antarctica",2013,"S.","Chatterjee","R.","Tewari","D. Agnihotri","",NA,"Alcheringa",NA,NA,NA,NA,NA,NA,"37","2","209","221","English","10.1080/03115518.2013.736799","auth,class","India;United States"
67745,"ref","journal article","Middle Miocene carbonate facies with rhodoliths from the NW\r\nTransylvanian Basin (Vălenii Șomcutei Cave, Romania)",2019,"R.","Chelaru","E.","Săsăran","T. Tămaș, R. Bălc, I. I. Bucur, G. Pleș","",NA,"Facies",NA,NA,NA,NA,NA,NA,"65","4","","","English","10.1007/s10347-018-0546-z","auth,class","Romania"
64754,"ref","journal article","A Late Carboniferous algal mound from the Tarim Basin, NW China: internal structure and palaeoecology",2012,"Z.-Q.","Chen","","","","",NA,"Geological Journal",NA,NA,NA,NA,NA,NA,"47","","477","494","English","10.1002/gj.2438","class","China"
87420,"ref","journal article","A palynological biozonation for the Maastrichtian Stage (Upper Cretaceous) of South Carolina, USA",2002,"R. A.","Christopher","D. C.","Prowell","","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"23","","639","669","English","10.1006/cres.2002.1029","auth,class","United States"
87542,"ref","journal article","A palynological biozonation for the uppermost Santonian and Campanian Stages (Upper Cretaceous) of South Carolina, USA",2010,"R. A.","Christopher","D. C.","Prowell","","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"31","2","101","129","English","10.1016/j.cretres.2009.09.004","auth,class","United States"
85253,"ref","journal article","New and interesting Surirella taxa (Surirellaceae, Bacillariophyta) from the Congo Basin (DR Congo)",2015,"C.","Cocquyt","J. C.","Taylor","","",NA,"European Journal of Taxonomy",NA,NA,NA,NA,NA,NA,"133","","1","15","English","10.5852/ejt.2015.133","auth,class","South Africa;Belgium"
55227,"ref","journal article","Earliest orchid macrofossils: early Miocene Dendrobium and Earina (Orchidaceae: Epidendroideae) from New Zealand",2009,"J. G.","Conran","J. M.","Bannister","D. E. Lee","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"","96","466","474","English","10.3732/ajb.0800269","auth,class","New Zealand;Australia"
55231,"ref","journal article","Conran, J. G., Bannister, J. M. and Lee, D. E. 2013. Fruits and leaves with cuticle of Laurelia otagoensis sp. nov. (Atherospermataceae) from the early Miocene of Otago (New Zealand). Alcheringa: DOI:10.1080/03115518.2013.798765",2013,"J. G.","Conran","J. M.","Bannister","D. E. Lee","",NA,"Alcheringa",NA,NA,NA,NA,NA,NA,"","37","1","14","English","10.1080/03115518.2013.798765","auth,class","New Zealand;Australia"
55232,"ref","journal article","Leaf fossils of Luzuriaga and a monocot flower with in situ pollen of Liliacidites contortus Mildenh. & Bannister sp. nov. (Alstroemeriaceae) from the early Miocene",2014,"J. G.","Conran","J. M.","Bannister","D. C. Mildenhall, D. E. Lee, J. Chacón, S. S. Renner","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"","101","141","155","English","10.3732/ajb.1300351","auth,class","New Zealand;Germany;Australia"
54758,"ref","journal article","Early Eocene Ripogonum (Liliales: Ripogonaceae) leaf macrofossils from southern Australia",2009,"J. G.","Conran","R. J.","Carpenter","G. J. Jordan","",NA,"Australian Systematic Botany",NA,NA,NA,NA,NA,NA,"22","3","219","228","English","10.1071/SB08050","auth,class","Australia"
85671,"ref","journal article","Pollen from the K–Pg boundary of the La Colonia Formation, Patagonia, Argentina",2023,"F.","De Benedetti","M. C.","Zamaloa","M. A. Gandolfo, N. R. Cúneo","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"316","104933","1","27","English","10.1016/j.revpalbo.2023.104933","auth,class","United States;Argentina"
82754,"ref","journal article","New physaloid fruit-fossil species from early Eocene South America",2020,"R.","Deanna","P.","Wilf","M. A. Gandolfo","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"107","12","1749","1762","English","10.1002/ajb2.1565","auth,class","Argentina;United States"
82997,"ref","journal article","Ulmus leaves and fruits from the Early-Middle Eocene of northwestern North America: systematics and implications for character evolution within Ulmaceae",2005,"T.","Denk","R.","Dillhoff","","",NA,"Canadian Journal of Botany",NA,NA,NA,NA,NA,NA,"83","12","1663","1681","English","10.1139/b05-122","auth,class","Sweden;United States"
83102,"ref","journal article","Nuphar carlquistii sp. nov. (Nymphaeaceae): A Water Lily from the Latest Early Eocene, Republic, Washington",2015,"M.","DeVore","W.","Taylor","K. Pigg","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"176","4","365","377","English","10.1086/680482","auth,class","United States"
83103,"ref","journal article","The Eocene Thomas Ranch flora, Allenby Formation, Princeton, British Columbia, Canada",2013,"R.","Dillhoff","T.","Dillhoff","D. Greenwood, M. DeVore, K. Pigg","",NA,"Botany",NA,NA,NA,NA,NA,NA,"91","8","514","529","English","10.1139/cjb-2012-0313","auth,class","United States;Canada"
42195,"ref","journal article","New Mesozoic and early Cenozoic spicular Nassellaria and Nassellaria-like Radiolaria",2004,"P.","Dumitrica","","","","",NA,"Revue de micropaléontologie",NA,NA,NA,NA,NA,NA,"47","","193","224","English","10.1016/j.revmic.2004.10.002","class","Switzerland"
48067,"ref","journal article","Upper Cretaceous floras of King George Island, West Antarctica, and their palaeoenvironmental and phytogeographic implications",2000,"T. L.","Dutra","D. J.","Batten","","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"","21","181","209","English","10.1006/cres.2000.0221","auth","United Kingdom;Brazil"
82813,"ref","journal article","Late Cretaceous aquatic vegetation: Tolmania aquatica gen. et sp. nov., from southern Alberta, Canada",2022,"N.L.","Edmonds","R.A.","Stockey","G.W. Rothwell","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"183","7","567","575","English","10.1086/721261","auth,class","United States"
86815,"ref","journal article","A new Late Cretaceous (late Campanian to early Maastrichtian) wood flora from southern Patagonia",2016,"V. M.","Egerton","C. J.","Williams","K. J. Lacovara","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"441","2","305","316","English","10.1016/j.palaeo.2015.07.011","auth,class","United States;United Kingdom"
86060,"ref","journal article","Late Maastrichtian to Danian organic-walled dinoflagellate cysts and calcareous nannofossils from eastern Austral Basin, Patagonia, Argentina",2020,"M. S. G.","Estebenet","M. V.","Guler","J. P. Pérez Panera","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"285","2","1","18","English","10.1016/j.revpalbo.2020.104342","auth,class","Argentina"
85140,"ref","journal article","Catalogue of the diatom genera",1999,"E.","Fourtanier","J. P.","Kociolek","","",NA,"Diatom Research",NA,NA,NA,NA,NA,NA,"14","1","1","190","English","10.1080/0269249X.1999.9705462","auth","United States"
82745,"ref","journal article","Extinct seed plant diversity in the Early Cretaceous: An enigmatic new microsporangiate fossil with Decussosporites pollen in situ",2022,"E. M.","Friis","P. R.","Crane","K. R. Pedersen","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"304","","104716","","English","10.1016/j.revpalbo.2022.104716","auth,class","United States;Denmark;Sweden"
83107,"ref","journal article","Relationships within Cupressaceae sensu lato: a combined morphological and molecular approach",2000,"P.","Gadek","D.","Alpers","M. Heslewood, C. Quinn","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"87","7","1044","1057","English","10.2307/2657004","class","Australia"
49154,"ref","journal article","Potamogetonaceae Fossil Fruits from the Tertiary of Patagonia, Argentina",2009,"M. A.","Gandolfo","M.","Zamaloa","N. R. Cúneo, A. Archangelsky","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"170","3","419","428","English","10.1086/595290","auth,class","United States;Argentina"
87588,"ref","journal article","First occurrence of Psammophis (Serpentes) from Europe witnesses another Messinian herpetofaunal dispersal from Africa – biogeographic implications and a discussion of the vertebral morphology of psammophiid snakes",2022,"G.L.","Georgalis","Z.","Szyndlar","","",NA,"Wiley",NA,NA,NA,NA,NA,NA,"305","","3263","3282","English","10.1002/ar.24892","auth,class","Poland"
73140,"ref","journal article","Early evolution of the cretaceous serial planktic foraminifera (late Albian-Cenomanian)",2009,"M. D.","Georgescu","B. T.","Huber","","",NA,"The Journal of Foraminiferal Research",NA,NA,NA,NA,NA,NA,"39","4","335","360","English","10.2113/gsjfr.39.4.335","auth,class","United States;Canada"
83156,"ref","journal article","Phylogenetics of extant and fossil Pinaceae: methods for increasing topological stability",2016,"D.S.","Gernandt","G.","Holman","C. Campbell, M. Parks, S. Mathews, L. A. Raubeson, A. Liston, R. A. Stockey, G. W. Rothwell","",NA,"Botany",NA,NA,NA,NA,NA,NA,"94","9","863","884","English","10.1139/cjb-2016-0064","auth,class","Mexico;United States;Australia"
72599,"ref","journal article","Coniferous woods and wood-decaying fungi from the El Freno Formation (Lower Jurassic), Neuquén Basin, Mendoza Province, Argentina. \r\n",2015,"S.","Gnaedinger  ","J. L.","García Massini","F. Bechis, A. M. Zavattieri","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"52","4","447","467","English","10.5710/AMGH.12.05.2015.2868","class","Argentina"
68065,"ref","journal article","Microborings as indication of cryptic life modes in the foraminifer Orbitoides: Maastrichtian sediments of the Haymana and Nallıhan districts (Ankara, Turkey)",2019,"M.","Gormus","H.","Demircan","Y. K. Kadioglu, F. Yagmurlu, M. S. Us","",NA,"Turkish Journal of Earth Sciences",NA,NA,NA,NA,NA,NA,"2019","28","","","English","10.3906/yer-1804-17","auth,class","Turkey"
88518,"ref","journal article","Conifer fossil woods from the mid-Cretaceous (Albian) Kachaike Formation, Santa Cruz Province, Argentina",2023,"C. D.","Greppi","R. R.","Pujana","D. P. Ruiz, C. F. Rombola, I. Aramendía","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"60","1","3","17","English","10.5710/AMGH.30.11.2022.3523","auth,class","Argentina"
82755,"ref","journal article","Geology and woods of a new fossil forest from the Early Miocene of Gökçeada (Turkey)",2019,"Y.","Güngör","Ü.","Akkemik","C. Kasapçı, E. Başaran","",NA,"Forestist",NA,NA,NA,NA,NA,NA,"69","1","22","34","English","10.26650/forestist.2019.412545","auth,class","Turkey"
78393,"ref","journal article","Pliocene Albizia (Fabaceae) from Jharkhand, eastern India: reappraisal of its biogeography during the Cenozoic in Southeast Asia",2021,"T.","Hazra","M.","Hazra","R. A. Spicer, T. E. V. Spicer, S. Mahato, S. Bera, S. Kumar, M. Ali Khan","",NA,"Palaeoworld",NA,NA,NA,NA,NA,NA,"","","","","English","10.1016/j.palwor.2021.03.004","auth,class","India;China;United Kingdom"
80594,"ref","journal article","Systematic descriptions, in Quercus yangyiensis sp. nov. from the late Pliocene of Baoshan, Yunnan and its paleoclimatic significance",2014,"Y. L.","He","N.","Li","B. N. Sun","",NA,"Acta Geologica Sinica",NA,NA,NA,NA,NA,NA,"88","3","738","747","English","10.1111/1755-6724.12234","auth,class","China"
80595,"ref","journal article","Quercus yangyiensis sp. nov. from the late Pliocene of Baoshan, Yunnan and its paleoclimatic significance",2014,"Y. L.","He","N.","Li","Z. X. Wang, H. F. Wang, G. L. Yang, L. Xiao, J. Y. Wu, B. N. Sun","",NA,"Acta Geologica Sinica",NA,NA,NA,NA,NA,NA,"88","3","738","747","English","10.1111/1755-6724.12234","auth,class","China"
48227,"ref","journal article","Early Cretaceous angiosperm pollen from a low latitude succession (Araripe Basin, NE Brazil)",2010,"U.","Heimhofer","P-A.","Hochuli","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"161","","105","126","English","10.1016/j.revpalbo.2010.03.010","auth","Switzerland;Germany"
66620,"ref","journal article","New marsileaceous fossils from the Late Cretaceous of South America and a reevaluation of Marsileaceaephyllum",2013,"E. J.","Hermsen","M. A.","Gandolfo","N. R. Cúneo","",NA,"Plant Systematics and Evolution",NA,NA,NA,NA,NA,NA,"300","2","369","386","English","10.1007/s00606-013-0886-7","auth,class","United States;Argentina"
55672,"ref","journal article","Dating of the Cretaceous Une Formation, Colombia and the relationship with the Albian-Cenomanian African-South American microfloral province",1990,"G. F. W.","Herngreen","H. J.","Duenas","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"66","","345","359","English","10.1016/0034-6667(90)90046-L","auth,class","Colombia"
38750,"ref","journal article","Phytogeographic implications of fossil endocarps of Menispermaceae from the Paleocene of Colombia",2011,"F.","Herrera","S. R.","Manchester","S. B. Hoot, K. M. Wefferling, M. R. Carvalho, C. Jaramillo","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"98","12","2004","2017","English","10.3732/ajb.1000461","auth","United States"
54448,"ref","journal article","Leaves of Eucryphia (Eucryphiaceae) from tertiary sediments in south-eastern Australia",1991,"R. S.","Hill","","","","",NA,"Australian Systematic Botany",NA,NA,NA,NA,NA,NA,"4","3","481","497","English","10.1071/SB9910481","auth,class","Australia"
82916,"ref","journal article","A proto-monsoonal climate in the late Eocene of Southeast Asia: evidence from a sedimentary record in central Myanmar",2023,"H.","Huang","R. J.","Morley","A. Licht, G. Dupont-Nivet, D. Pérez-Pinedo, J. Westerweel, Z. Win, D. Wa Aung, E. Budi Lelono, G. N. Aleksandrova, R. K. Saxena, C. Hoorn","",NA,"Geoscience Frontiers",NA,NA,NA,NA,NA,NA,"14","1","101457","","English","10.1016/j.gsf.2022.101457","auth,class","Russian Federation;Myanmar;France;Netherlands;India;Germany;United Kingdom;Indonesia"
80598,"ref","journal article","Fossil leaves of Buxus (Buxaceae) from the Upper Pliocene of Yunnan, SW China",2018,"H. S.","Huang","T.","Su","Z. K. Zhou","",NA,"Palaeoworld",NA,NA,NA,NA,NA,NA,"27","2","271","281","English","10.1016/j.palwor.2017.12.003","auth,class","Netherlands;China"
80590,"ref","journal article","Systematic descriptions, in The occurrence of Quercus heqingensis n. sp. and its application to palaeo-CO2 estimates",2015,"H. S.","Huang","Z. K.","Zhou","","",NA,"Chinese Science Bulletin",NA,NA,NA,NA,NA,NA,"61","","1354","1364","Chinese","10.1360/N972014-01370 ","auth,class","China;Sweden"
80374,"ref","journal article","Systematic descriptions, in A fossil fig from the Miocene of southwestern China: Indication of persistent deep time karst vegetation",2018,"J.","Huang","Z. K.","Zhou","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"258","","133","145","English","10.1016/j.revpalbo.2018.07.005","auth,class","China"
80376,"ref","journal article","Systematic descriptions, in The oldest Mahonia (Berberidaceae) fossil from East Asia and its biogeographic implications",2015,"J.","Huang","Z. K.","Zhou","","",NA,"Journal of Plant Research",NA,NA,NA,NA,NA,NA,"129","","209","223","English","10.1007/s10265-015-0775-y","auth,class","China"
80776,"ref","journal article","New fossil endocarps of Sambucus (Adoxaceae) from the upper Pliocene in SW China",2012,"Y. J.","Huang","F. M. B.","Jacques","Y. S. Liu, T. Su, Y. W. Xing, X. H. Xiao, Z. K. Zhou","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"171","","152","163","English","10.1016/j.revpalbo.2011.11.008","class","United States;China"
80775,"ref","journal article","Systematic descriptions, in New fossil endocarps of Sambucus (Adoxaceae) from the upper Pliocene in SW China",2012,"Y. J.","Huang","Y. S.","Liu","Z. K. Zhou","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"171","","152","163","English","10.1016/j.revpalbo.2011.11.008","auth,class","United States;China"
80778,"ref","journal article","Systematic descriptions, in First discovery of Cucubalus (Caryophyllaceae) fossil, and its biogeographical and ecological implications",2013,"Y. J.","Huang","Y. S.","Liu","Z. K. Zhou","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"190","","41","47","English","10.1016/j.revpalbo.2012.11.011","auth,class","China;United States"
80779,"ref","journal article","Late Pliocene diversity and distribution of Drynaria (Polypodiaceae) in western Yunnan explained by forest vegetation and humid climates",2016,"Y. J.","Huang","T.","Su","Z. K. Zhou","",NA,"Plant Diversity",NA,NA,NA,NA,NA,NA,"38","4","194","200","English","10.1016/j.pld.2016.06.003","auth,class","China"
80777,"ref","journal article","Systematic descriptions, in Fossil seeds of Euryale (Nymphaeaceae) indicate a lake or swamp environment in the late Miocene Zhaotong Basin of southwestern China",2015,"Y. J.","Huang","Z. K.","Zhou","","",NA,"Science Bulletin",NA,NA,NA,NA,NA,NA,"60","20","1768","1777","English","10.1007/s11434-015-0870-4","auth,class","China"
80589,"ref","journal article","Rise of herbaceous diversity at the southeastern margin of the Tibetan Plateau: First insight from fossils",2021,"Y. J.","Huang","H.","Zhu","T. Su, R. A. Spicer, J. J. Hu, L. B. Jia, Z. K. Zhou","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"","","","","English","10.1111/jse.12755","auth,class","China;United Kingdom"
83411,"ref","journal article","A community-derived classification for extant lycophytes and ferns",2016,"PPG.","I","","","","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"54","6","563","603","English","10.1111/jse.12229","auth,class","China;Taiwan;United Kingdom;United States;France;Brazil;Panama;Japan;Viet Nam;Colombia;Argentina;Netherlands;Mexico;Denmark;Spain;Australia;Russian Federation;New Zealand;Switzerland;Sweden;Germany;Finland"
55564,"ref","journal article","New angiosperm pollen from the upper Barremian-Aptian of the Western Desert, Egypt",2002,"M. I. A.","Ibrahim","","","","",NA,"Palynology",NA,NA,NA,NA,NA,NA,"26","1","107","133","English","10.1080/01916122.2002.9989569","auth,class","Egypt"
88514,"ref","journal article","New Upper Cretaceous (Campanian) flora from James Ross Island, Antarctica",2016,"A.","Iglesias","","","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"53","3","358","374","English","10.5710/AMGH.17.02.2016.2930","auth,class","Argentina"
80782,"ref","journal article","Systematic descriptions, in The first fossil Microsoroid fern (Palaeosorum ellipticum gen. et sp. nov.) from the middle Miocene of Yunnan, SW China",2013,"F. M. B.","Jacques","Z. K.","Zhou","","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"51","6","758","764","English","10.1111/jse.12030","auth,class","China"
80783,"ref","journal article","Systematic descriptions, in First occurrence of Cedrelospermum (Ulmaceae) in Asia and its biogeographic implications",2015,"L. B.","Jia","Y. J.","Huang","Z. K. Zhou","",NA,"Journal of Plant Research",NA,NA,NA,NA,NA,NA,"128","","747","761","English","10.1007/s10265-015-0739-2","auth,class","United States;China"
80653,"ref","journal article","Two Eocene fossil fruits from the Changchang Basin of Hainan Island, China",2009,"J. H.","Jin","","","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"153","01-Feb","150","152","English","10.1016/j.revpalbo.2008.07.010","auth,class","China"
54441,"ref","journal article","The Macrofossil Record of Proteaceae in Tasmania: a Review with New Species",1998,"G. J.","Jordan","R. J.","Carpenter","R. S. Hill","",NA,"Australian Systematic Botany",NA,NA,NA,NA,NA,NA,"11","4","465","501","English","10.1071/SB97020","auth,class","Australia"
