"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type","aff"
56236,"ref","journal article","Small acritarchs from the Upper Cretaceous: taxonomy, biological affinities and palaeoecology",2003,"E.","Schrank","","","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"123","","199","235","English","10.1016/s0034-6667(02)00228-2","auth,class","Germany"
9924,"ref","journal article","Micropaleontology of Limestone Beds within the Shotori Dolomite (Triassic) of Kuh-e Nayband, Tabas Area, East-Central Iran",2003,"B.","Senowbari-Daryan","","","","",NA,"Facies",NA,NA,NA,NA,NA,NA,"","48","115","126","","10.1007/bf02667534","class","Germany"
30581,"ref","journal article","Devonian radiolarian faunas from South China",2003,"Y.","Wang","J. C.","Aitchison","H. Luo","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"49","2","127","145","English","10.2113/49.2.127","auth,class","China;Hong Kong"
42086,"ref","journal article","Biostratigraphic subdivision and correlation of uppermost Carboniferous/Lower Permian sediments in the southern Alps: fusulinoidean and conodont faunas from the Carnic Alps (Austria/Italy), Karavanke Mountains (Slovenia), and southern Urals (Russia)",2002,"H. C.","Forke","","","","",NA,"Facies",NA,NA,NA,NA,NA,NA,"47","","201","275","English","10.1007/bf02667713","auth,class","Germany"
24811,"ref","journal article","Triassic radiolarian faunas from the Mae Sariang area, northern Thailand and their paleogeographic significance",2002,"Y.","Kamata","K.","Sashida","K. Ueno, K. Hisada, N. Nakornsri, P. Charusiri","",NA,"Journal of Asian Earth Sciences",NA,NA,NA,NA,NA,NA,"20","","491","506","English","10.1016/s1367-9120(01)00047-5","class","Japan;Thailand"
15478,"ref","journal article","Guembelitria-dominated late Maastrichtian planktic foraminiferal assemblages mimic early Danian in central Egypt",2002,"G.","Keller","","","","",NA,"Marine Micropaleontology",NA,NA,NA,NA,NA,NA,"47","","71","99","English","10.1016/s0377-8398(02)00116-0","auth,class","United States"
15481,"ref","journal article","Paleoecology of the Cretaceous-Tertiary mass extinction in planktonic foraminifera",2002,"G.","Keller","T.","Adatte","W. Stinnesbeck, V. Luciani, N. Karoui-Yaakoub, D. Zaghbib-Turki","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"178","","257","297","English","10.1016/s0031-0182(01)00399-6","auth,class","Tunisia;Germany;Italy;United States;Switzerland"
7777,"ref","journal article","A new fossil flower and associated coprolites: evidence for angiosperm-insect interactions in the Santonian (Late Cretaceous) of Georgia, U.S.A.",2002,"R.","Lupia","P. S.","Herendeen","J. A. Keller","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"163","4","675","686","English","10.1086/340737","auth","United States"
9386,"ref","journal article","A diverse assemblage of Anacardiaceae from Oligocene sediments, Tepexi de Rodriguez, Puebla, Mexico",2002,"J. L.","Ramírez","S. R. S.","Cevallos-Ferriz","","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"89","","535","545","English","10.3732/ajb.89.3.535","class","Mexico"
8506,"ref","journal article","Barremian angiosperm pollen and associated palynomorphs from the Dakhla Oasis Area, Egypt",2002,"E.","Schrank","M. S.","Mahmoud","","",NA,"Palaeontology",NA,NA,NA,NA,NA,NA,"45","1","33","56","","10.1111/1475-4983.00226","auth","Egypt;Germany"
